,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,SC0,SC0,SC0,SC0,SC0,SC0,SC0,SC0,SC0,SC0,SC0,C0,C0,C1,C1,C2,C2,C3,C3,C4,C4,C5,C5,C6,C6,C7,C7,C8,C8,C9,C9
,flow C0,flow C1,flow C2,flow C3,flow C4,flow C5,flow C6,flow C7,flow C8,flow C9,flow SC0,foodwaste,input flow,flow 1,flow 2,flow 3,flow 4,flow 5,flow 6,flow 7,flow 8,flow 9,flow 10,foodwaste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste
9,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,0.0,6.43739985963545,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01000682666811653,0.0,0.01000682666811653,0.0,0.01000682666811653,0.0,0.01000682666811653,0.0,0.01000682666811653,0.0,0.01000682666811653,0.0,0.01000682666811653,0.0,0.01000682666811653,0.0,0.01000682666811653,0.0,0.01000682666811653,0.0
10,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,0.0,6.43739985963545,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010103184100480877,2.8874594924359074,0.010103184100480877,2.8874594924359074,0.010103184100480877,2.8874594924359074,0.010103184100480877,2.8874594924359074,0.010103184100480877,2.8874594924359074,0.010103184100480877,2.8874594924359074,0.010103184100480877,2.8874594924359074,0.010103184100480877,2.8874594924359074,0.010103184100480877,2.8874594924359074,0.010103184100480877,2.8874594924359074
11,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,0.0,6.43739985963545,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01010178114876347,2.891559678526714,0.01010178114876347,2.891559678526714,0.01010178114876347,2.891559678526714,0.01010178114876347,2.891559678526714,0.01010178114876347,2.891559678526714,0.01010178114876347,2.891559678526714,0.01010178114876347,2.891559678526714,0.01010178114876347,2.891559678526714,0.01010178114876347,2.891559678526714,0.01010178114876347,2.891559678526714
12,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,0.0,6.43739985963545,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101183153644729,2.893059721980661,0.010101183153644729,2.893059721980661,0.010101183153644729,2.893059721980661,0.010101183153644729,2.893059721980661,0.010101183153644729,2.893059721980661,0.010101183153644729,2.893059721980661,0.010101183153644729,2.893059721980661,0.010101183153644729,2.893059721980661,0.010101183153644729,2.893059721980661,0.010101183153644729,2.893059721980661
13,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,0.0,6.43739985963545,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010100658799974467,2.894559796613137,0.010100658799974467,2.894559796613137,0.010100658799974467,2.894559796613137,0.010100658799974467,2.894559796613137,0.010100658799974467,2.894559796613137,0.010100658799974467,2.894559796613137,0.010100658799974467,2.894559796613137,0.010100658799974467,2.894559796613137,0.010100658799974467,2.894559796613137,0.010100658799974467,2.894559796613137
14,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,0.0,6.43739985963545,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010100361017451138,2.895459832276517,0.010100361017451138,2.895459832276517,0.010100361017451138,2.895459832276517,0.010100361017451138,2.895459832276517,0.010100361017451138,2.895459832276517,0.010100361017451138,2.895459832276517,0.010100361017451138,2.895459832276517,0.010100361017451138,2.895459832276517,0.010100361017451138,2.895459832276517,0.010100361017451138,2.895459832276517
15,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,0.0,6.43739985963545,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010100185401449335,2.8960598583140165,0.010100185401449335,2.8960598583140165,0.010100185401449335,2.8960598583140165,0.010100185401449335,2.8960598583140165,0.010100185401449335,2.8960598583140165,0.010100185401449335,2.8960598583140165,0.010100185401449335,2.8960598583140165,0.010100185401449335,2.8960598583140165,0.010100185401449335,2.8960598583140165,0.010100185401449335,2.8960598583140165
16,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,0.0,6.43739985963545,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010100130179831524,2.896259870567669,0.010100130179831524,2.896259870567669,0.010100130179831524,2.896259870567669,0.010100130179831524,2.896259870567669,0.010100130179831524,2.896259870567669,0.010100130179831524,2.896259870567669,0.010100130179831524,2.896259870567669,0.010100130179831524,2.896259870567669,0.010100130179831524,2.896259870567669,0.010100130179831524,2.896259870567669
17,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,0.0,6.43739985963545,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196
18,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,0.0,6.43739985963545,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196,0.010100130179831524,2.8962598965068196
